Ticker,Total Shares Outstanding,Institutional Ownership %,Total Holdings Value
PKX,317,3.15%,$724
WB,158,29.23%,$381
TMUS,"1,082",46.12%,"$94,908"
PINS,482,126.78%,"$11,488"
SPCE,101,19.72%,$49
MSTR,331,68.04%,"$37,320"
HL,671,81.78%,"$9,423"
BKNG,775,103.26%,"$125,581"
HMY,637,16.27%,"$1,806"
ABEV,"15,764",6.66%,"$3,392"
ACN,614,93.54%,"$102,924"
AEM,501,69.04%,"$61,618"
TWLO,152,101.80%,"$29,252"
BSBR,"3,813",0.82%,$172
VIST,95,69.23%,"$4,962"
AIG,530,109.14%,"$45,155"
PAAS,422,57.08%,"$13,205"
ABNB,418,92.65%,"$52,485"
KGC,"1,198",65.95%,"$22,605"
BBD,"5,296",24.13%,"$4,562"
MRVL,876,89.54%,"$146,445"
BP,"2,617",13.80%,"$16,297"
MUX,60,53.99%,$695
TX,"2,005",1.21%,"$1,084"
TSLA,"3,756",49.81%,"$780,569"
SPGI,296,98.65%,"$121,766"
DOCU,194,104.93%,"$10,139"
EA,251,103.56%,"$52,351"
ADI,488,99.14%,"$192,656"
GFI,895,17.59%,"$6,405"
NEM,"1,068",90.17%,"$103,380"
DOW,721,85.03%,"$22,229"
AMX,"3,109",5.77%,"$4,783"
LAC,351,28.85%,$482
ARCO,131,71.14%,$844
JNJ,"2,407",85.34%,"$471,089"
SHOP,"1,220",72.23%,"$92,509"
GE,"1,043",88.68%,"$277,722"
COST,444,80.42%,"$383,199"
GILD,"1,242",102.20%,"$165,834"
QCOM,"1,054",90.75%,"$193,692"
RIO,"1,255",10.17%,"$13,182"
TXN,910,98.86%,"$274,297"
ERIC,"3,110",10.19%,"$4,117"
NIO,"2,099",13.73%,"$1,611"
TSM,"25,933",3.00%,"$312,828"
SNOW,347,83.17%,"$48,132"
AMAT,794,90.43%,"$306,340"
MA,877,98.68%,"$431,015"
FDX,239,89.86%,"$82,945"
ROKU,131,97.94%,"$15,933"
VALE,"4,539",19.41%,"$14,408"
BCS,"3,397",8.64%,"$7,009"
META,"2,196",85.69%,"$1,138,534"
UL,"2,174",11.29%,"$14,150"
COIN,222,78.60%,"$33,441"
OXY,995,89.25%,"$52,262"
JPM,"2,680",84.55%,"$684,136"
NOK,"5,742",15.82%,"$12,373"
GS,295,83.60%,"$242,216"
MMM,522,85.46%,"$66,762"
MELI,51,76.62%,"$64,137"
HWM,400,105.60%,"$110,362"
PEP,"1,367",87.05%,"$177,628"
MU,"1,128",86.70%,"$715,723"
HMC,"1,511",3.66%,"$1,429"
CAAP,163,15.15%,$614
XOM,"4,145",78.23%,"$506,764"
ADBE,404,92.06%,"$94,284"
TRIP,116,126.76%,"$1,465"
BAC,"7,097",85.99%,"$312,642"
PLTR,"2,296",67.98%,"$214,071"
GOLD,28,63.19%,$738
GM,902,99.20%,"$68,100"
ETSY,95,127.37%,"$7,360"
LVS,663,47.57%,"$15,641"
NFLX,"4,211",90.06%,"$334,056"
ORCL,"2,876",49.08%,"$265,621"
WMT,"7,971",41.46%,"$432,438"
SHEL,"2,798",13.40%,"$32,520"
DIS,"1,737",85.35%,"$154,252"
CDE,"1,035",82.39%,"$15,111"
UAL,325,100.92%,"$32,109"
HPQ,915,106.33%,"$20,489"
DD,410,90.68%,"$17,564"
ABBV,"1,767",85.46%,"$320,555"
RTX,"1,347",89.85%,"$211,566"
BBVA,"5,634",3.32%,"$4,255"
BIIB,148,208.61%,"$57,841"
AXP,682,92.70%,"$195,975"
NU,"3,838",77.07%,"$37,834"
DEO,557,9.87%,"$4,675"
MOS,318,103.15%,"$7,167"
BABA,"2,399",10.65%,"$34,355"
GLOB,43,93.02%,"$1,679"
SPOT,206,67.13%,"$59,870"
AMD,"1,631",77.67%,"$566,867"
BMY,"2,042",91.20%,"$109,020"
NXE,661,55.41%,"$3,879"
MO,"1,670",71.81%,"$87,930"
RBLX,672,92.27%,"$28,376"
RIOT,378,88.30%,"$7,904"
C,"1,715",88.83%,"$190,144"
BHP,"2,541",4.21%,"$8,939"
SLB,"1,495",102.51%,"$87,785"
SBUX,"1,140",93.15%,"$113,065"
PYPL,882,85.93%,"$33,636"
NKE,"1,199",89.84%,"$47,622"
AAL,661,78.48%,"$6,722"
USB,"1,552",92.47%,"$78,229"
CRM,818,102.88%,"$151,576"
HON,634,88.31%,"$121,648"
V,"1,660",99.13%,"$544,164"
KO,"4,302",84.33%,"$295,869"
BRK.B,"1,398",77.15%,"$518,762"
ZM,266,86.74%,"$22,944"
ABT,"1,742",91.15%,"$140,314"
AAPL,"14,687",74.96%,"$3,327,773"
AVGO,"4,735",87.82%,"$1,736,977"
CVX,"1,992",82.92%,"$315,986"
INTC,"5,026",69.98%,"$418,403"
VZ,"4,176",77.48%,"$154,707"
SYY,478,100.41%,"$36,233"
F,"3,914",78.19%,"$40,459"
T,"6,948",77.45%,"$134,168"
KEEL,604,43.31%,"$1,106"
KMB,332,104.32%,"$33,779"
BA,788,83.34%,"$145,977"
UGP,"1,116",5.70%,$368
UNH,908,94.32%,"$328,327"
CSCO,"3,941",88.86%,"$400,494"
