Holder,Shares,Date Reported,% Out,Value,Ticker,Fetch_Date
Capital International Investors,17.53M,"Sep 30, 2024",7.57%,5901726635,MSTR,2025-02-05
Vanguard Group Inc,17.45M,"Sep 30, 2024",7.53%,5876342148,MSTR,2025-02-05
Morgan Stanley,9.6M,"Sep 30, 2024",4.14%,3230639310,MSTR,2025-02-05
Blackrock Inc.,9.48M,"Sep 30, 2024",4.09%,3191102648,MSTR,2025-02-05
State Street Corporation,3.32M,"Sep 30, 2024",1.43%,1118729898,MSTR,2025-02-05
"Geode Capital Management, LLC",2.77M,"Sep 30, 2024",1.19%,931407519,MSTR,2025-02-05
"Susquehanna International Group, LLP",2.75M,"Sep 30, 2024",1.19%,927493718,MSTR,2025-02-05
Norges Bank Investment Management,1.58M,"Jun 30, 2024",0.68%,531615649,MSTR,2025-02-05
Clear Street Derivatives LLC,1.31M,"Sep 30, 2024",0.56%,440112033,MSTR,2025-02-05
"Jane Street Group, LLC",1.06M,"Sep 30, 2024",0.46%,355282822,MSTR,2025-02-05
Vanguard Group Inc,178.4M,"Sep 30, 2024",8.47%,11503371746,UBER,2025-02-05
Blackrock Inc.,147.28M,"Sep 30, 2024",6.99%,9496902604,UBER,2025-02-05
"FMR, LLC",97.86M,"Sep 30, 2024",4.65%,6309762817,UBER,2025-02-05
Morgan Stanley,92.16M,"Sep 30, 2024",4.38%,5942794222,UBER,2025-02-05
State Street Corporation,82.35M,"Sep 30, 2024",3.91%,5309843291,UBER,2025-02-05
Public Investment Fund,72.84M,"Sep 30, 2024",3.46%,4696758328,UBER,2025-02-05
Capital Research Global Investors,66.01M,"Sep 30, 2024",3.13%,4256080319,UBER,2025-02-05
JP Morgan Chase & Company,61.66M,"Sep 30, 2024",2.93%,3976158891,UBER,2025-02-05
"Wellington Management Group, LLP",43.9M,"Sep 30, 2024",2.08%,2830839472,UBER,2025-02-05
"Geode Capital Management, LLC",42.5M,"Sep 30, 2024",2.02%,2740423290,UBER,2025-02-05
Vanguard Group Inc,7.42M,"Sep 30, 2024",8.14%,482399328,UPST,2025-02-05
Blackrock Inc.,5.79M,"Sep 30, 2024",6.34%,376019330,UPST,2025-02-05
"Shaw D.E. & Co., Inc.",2.31M,"Sep 30, 2024",2.54%,150380427,UPST,2025-02-05
State Street Corporation,2.27M,"Sep 30, 2024",2.48%,147203815,UPST,2025-02-05
"Susquehanna International Group, LLP",1.91M,"Sep 30, 2024",2.10%,124212460,UPST,2025-02-05
"Geode Capital Management, LLC",1.82M,"Sep 30, 2024",1.99%,118053980,UPST,2025-02-05
Goldman Sachs Group Inc,1.71M,"Sep 30, 2024",1.87%,110896953,UPST,2025-02-05
"Two Sigma Investments, LP",1.6M,"Sep 30, 2024",1.76%,104059237,UPST,2025-02-05
Morgan Stanley,1.43M,"Sep 30, 2024",1.57%,92801126,UPST,2025-02-05
"Voloridge Investment Management, LLC",1.34M,"Sep 30, 2024",1.47%,87249300,UPST,2025-02-05
Vanguard Group Inc,18.29M,"Sep 30, 2024",8.93%,5032392034,COIN,2025-02-05
Blackrock Inc.,11.33M,"Sep 30, 2024",5.53%,3116543137,COIN,2025-02-05
"FMR, LLC",6.75M,"Sep 30, 2024",3.29%,1856250818,COIN,2025-02-05
Paradigm Operations LP,4.52M,"Sep 30, 2024",2.20%,1242421149,COIN,2025-02-05
State Street Corporation,4.3M,"Sep 30, 2024",2.10%,1183320524,COIN,2025-02-05
"Geode Capital Management, LLC",3.43M,"Sep 30, 2024",1.67%,942524861,COIN,2025-02-05
"Jane Street Group, LLC",3.1M,"Sep 30, 2024",1.51%,851819178,COIN,2025-02-05
"ARK Investment Management, LLC",3.03M,"Dec 31, 2024",1.48%,834952269,COIN,2025-02-05
"Sumitomo Mitsui Trust Holdings, Inc.",2.85M,"Dec 31, 2024",1.39%,785362134,COIN,2025-02-05
"Nikko Asset Management Americas, Inc.",2.79M,"Sep 30, 2024",1.36%,767425756,COIN,2025-02-05
General Motors Holdings LLC,30M,"Sep 30, 2024",13.73%,93013909,LAC,2025-02-05
Van Eck Associates Corporation,3.68M,"Dec 31, 2024",1.69%,11416707,LAC,2025-02-05
Mirae Asset Global ETFs Holdings Ltd.,3.01M,"Sep 30, 2024",1.38%,9344732,LAC,2025-02-05
Marshall Wace LLP,2.09M,"Sep 30, 2024",0.96%,6486969,LAC,2025-02-05
Invesco Ltd.,2.01M,"Sep 30, 2024",0.92%,6217555,LAC,2025-02-05
Legal & General Group PLC,1.99M,"Sep 30, 2024",0.91%,6166891,LAC,2025-02-05
Adage Capital Partners GP L.L.C.,1.5M,"Sep 30, 2024",0.69%,4649999,LAC,2025-02-05
CenterBook Partners LP,1.49M,"Sep 30, 2024",0.68%,4619799,LAC,2025-02-05
"Point72 Asset Management, L.P.",1.45M,"Sep 30, 2024",0.66%,4495619,LAC,2025-02-05
Millennium Management Llc,1.21M,"Sep 30, 2024",0.55%,3752357,LAC,2025-02-05
Vanguard Group Inc,307.03M,"Sep 30, 2024",9.22%,24577744031,WFC,2025-02-05
Blackrock Inc.,259.64M,"Sep 30, 2024",7.80%,20784139805,WFC,2025-02-05
"FMR, LLC",195.94M,"Sep 30, 2024",5.89%,15685146250,WFC,2025-02-05
State Street Corporation,141.88M,"Sep 30, 2024",4.26%,11357625955,WFC,2025-02-05
JP Morgan Chase & Company,128.21M,"Sep 30, 2024",3.85%,10263025175,WFC,2025-02-05
"Wellington Management Group, LLP",91.25M,"Sep 30, 2024",2.74%,7304554133,WFC,2025-02-05
Dodge & Cox Inc,86.95M,"Sep 30, 2024",2.61%,6960316545,WFC,2025-02-05
"Geode Capital Management, LLC",71.18M,"Sep 30, 2024",2.14%,5697985393,WFC,2025-02-05
Capital International Investors,48.94M,"Sep 30, 2024",1.47%,3917541083,WFC,2025-02-05
Norges Bank Investment Management,45.04M,"Jun 30, 2024",1.35%,3605258976,WFC,2025-02-05
"Berkshire Hathaway, Inc",797.68M,"Sep 30, 2024",10.40%,37578861079,BAC,2025-02-05
Vanguard Group Inc,660.02M,"Sep 30, 2024",8.60%,31093331691,BAC,2025-02-05
Blackrock Inc.,503.84M,"Sep 30, 2024",6.57%,23735824787,BAC,2025-02-05
State Street Corporation,288.72M,"Sep 30, 2024",3.76%,13601540253,BAC,2025-02-05
"FMR, LLC",190.59M,"Sep 30, 2024",2.48%,8978698314,BAC,2025-02-05
JP Morgan Chase & Company,149.4M,"Sep 30, 2024",1.95%,7038415370,BAC,2025-02-05
"Geode Capital Management, LLC",140.26M,"Sep 30, 2024",1.83%,6607458832,BAC,2025-02-05
Norges Bank Investment Management,122.92M,"Jun 30, 2024",1.60%,5790525866,BAC,2025-02-05
Morgan Stanley,119.05M,"Sep 30, 2024",1.55%,5608465924,BAC,2025-02-05
Price (T.Rowe) Associates Inc,110.75M,"Sep 30, 2024",1.44%,5217242761,BAC,2025-02-05
"MMCAP International, Inc. SPC",13.35M,"Dec 31, 2024",2.95%,18827370,BITF,2025-02-05
Van Eck Associates Corporation,12.55M,"Dec 31, 2024",2.77%,17700757,BITF,2025-02-05
Invesco Ltd.,12.22M,"Sep 30, 2024",2.70%,17224384,BITF,2025-02-05
"Tidal Investments, LLC",6.23M,"Sep 30, 2024",1.37%,8778029,BITF,2025-02-05
State Street Corporation,4.92M,"Sep 30, 2024",1.09%,6933997,BITF,2025-02-05
"Susquehanna International Group, LLP",4.06M,"Sep 30, 2024",0.90%,5721104,BITF,2025-02-05
Mirae Asset Global ETFs Holdings Ltd.,3.45M,"Sep 30, 2024",0.76%,4866382,BITF,2025-02-05
Citadel Advisors Llc,3.33M,"Sep 30, 2024",0.74%,4700539,BITF,2025-02-05
Morgan Stanley,3.29M,"Sep 30, 2024",0.73%,4638290,BITF,2025-02-05
"Vident Advisory, LLC",3.23M,"Sep 30, 2024",0.71%,4553418,BITF,2025-02-05
Vanguard Group Inc,272.15M,"Sep 30, 2024",9.67%,73597630678,JPM,2025-02-05
Blackrock Inc.,202.42M,"Sep 30, 2024",7.19%,54741452418,JPM,2025-02-05
State Street Corporation,126.08M,"Sep 30, 2024",4.48%,34095640942,JPM,2025-02-05
Morgan Stanley,69.22M,"Sep 30, 2024",2.46%,18718322514,JPM,2025-02-05
"Geode Capital Management, LLC",58.34M,"Sep 30, 2024",2.07%,15778017792,JPM,2025-02-05
Bank of America Corporation,50.05M,"Sep 30, 2024",1.78%,13535004907,JPM,2025-02-05
"FMR, LLC",48.33M,"Sep 30, 2024",1.72%,13069688729,JPM,2025-02-05
Norges Bank Investment Management,37.06M,"Jun 30, 2024",1.32%,10020871268,JPM,2025-02-05
